Category,Component,File/Module,9Router Path,ai_proxy Path,Status,Priority,Functionality,Estimated Hours,Dependencies
CONFIG,App Constants,appConstants.js,/open-sse/config/appConstants.js,/internal/config/constants.go,❌ Missing,High,Application-wide constants,2,None
CONFIG,Error Config,errorConfig.js,/open-sse/config/errorConfig.js,/internal/errs/errors.go,⚠️ Partial,High,Error code mappings,3,None
CONFIG,Models,models.js,/open-sse/config/models.js,/internal/models/models.go,❌ Missing,Critical,Model definitions,4,None
CONFIG,Providers,providers.js,/open-sse/config/providers.js,/internal/config/providers.go,❌ Missing,Critical,Provider configurations,5,None
CONFIG,Runtime Config,runtimeConfig.js,/open-sse/config/runtimeConfig.js,/internal/config/config.go,⚠️ Partial,High,Runtime configuration,2,None
SERVICES,Model Service,model.js,/open-sse/services/model.js,/internal/services/model.go,❌ Missing,Critical,Model selection and routing,6,Config/Providers
SERVICES,Provider Service,provider.js,/open-sse/services/provider.js,/internal/services/provider.go,❌ Missing,Critical,Provider management,6,Config/Storage
SERVICES,Combo Service,combo.js,/open-sse/services/combo.js,/internal/services/combo.go,❌ Missing,High,Fallback chain management,4,Storage
SERVICES,Token Refresh,tokenRefresh.js,/open-sse/services/tokenRefresh.js,/internal/services/token_refresh.go,❌ Missing,High,Token refresh logic,3,Auth
SERVICES,Usage Service,usage.js,/open-sse/services/usage.js,/internal/services/usage.go,❌ Missing,High,Usage tracking,4,Storage
HANDLERS,Chat Core,chatCore.js,/open-sse/handlers/chatCore.js,/internal/handlers/chat.go,❌ Missing,Critical,Main chat orchestrator,8,Executors/Translator
HANDLERS,Streaming Handler,streamingHandler.js,/open-sse/handlers/chatCore/streamingHandler.js,/internal/handlers/streaming.go,❌ Missing,Critical,SSE streaming,6,Chat Core
HANDLERS,Non-Streaming Handler,nonStreamingHandler.js,/open-sse/handlers/chatCore/nonStreamingHandler.js,/internal/handlers/non_streaming.go,❌ Missing,Critical,Non-streaming responses,4,Chat Core
HANDLERS,Embeddings Core,embeddingsCore.js,/open-sse/handlers/embeddingsCore.js,/internal/handlers/embeddings.go,❌ Missing,Critical,Main embeddings handler,4,Embedding Providers
HANDLERS,Embedding Base,_base.js,/open-sse/handlers/embeddingProviders/_base.js,/internal/handlers/embeddings/base.go,❌ Missing,Critical,Base embedding provider,3,None
HANDLERS,OpenAI Embeddings,openai.js,/open-sse/handlers/embeddingProviders/openai.js,/internal/handlers/embeddings/openai.go,❌ Missing,Critical,OpenAI embeddings,3,Base
HANDLERS,Gemini Embeddings,gemini.js,/open-sse/handlers/embeddingProviders/gemini.js,/internal/handlers/embeddings/gemini.go,❌ Missing,High,Gemini embeddings,3,Base
HANDLERS,Image Generation Core,imageGenerationCore.js,/open-sse/handlers/imageGenerationCore.js,/internal/handlers/images.go,❌ Missing,Critical,Main image handler,4,Image Providers
HANDLERS,Image Base,_base.js,/open-sse/handlers/imageProviders/_base.js,/internal/handlers/images/base.go,❌ Missing,Critical,Base image provider,3,None
HANDLERS,DALL-E,openai.js,/open-sse/handlers/imageProviders/openai.js,/internal/handlers/images/openai.go,❌ Missing,Critical,DALL-E,3,Base
HANDLERS,Stability AI,stabilityAi.js,/open-sse/handlers/imageProviders/stabilityAi.js,/internal/handlers/images/stability.go,❌ Missing,High,Stability AI,3,Base
HANDLERS,TTS Core,ttsCore.js,/open-sse/handlers/ttsCore.js,/internal/handlers/tts.go,❌ Missing,High,Main TTS handler,4,TTS Providers
HANDLERS,TTS Base,_base.js,/open-sse/handlers/ttsProviders/_base.js,/internal/handlers/tts/base.go,❌ Missing,High,Base TTS provider,3,None
HANDLERS,Google TTS,googleTts.js,/open-sse/handlers/ttsProviders/googleTts.js,/internal/handlers/tts/google.go,❌ Missing,High,Google TTS,3,Base
HANDLERS,ElevenLabs,elevenlabs.js,/open-sse/handlers/ttsProviders/elevenlabs.js,/internal/handlers/tts/elevenlabs.go,❌ Missing,High,ElevenLabs TTS,3,Base
UTILS,Error Handling,error.js,/open-sse/utils/error.js,/internal/utils/error.go,❌ Missing,High,Error utilities,2,None
UTILS,Stream Utilities,stream.js,/open-sse/utils/stream.js,/internal/utils/stream.go,❌ Missing,High,Stream utilities,3,None
UTILS,Client Detector,clientDetector.js,/open-sse/utils/clientDetector.js,/internal/utils/client.go,❌ Missing,High,Client detection,2,None
UTILS,Proxy Fetch,proxyFetch.js,/open-sse/utils/proxyFetch.js,/internal/utils/fetch.go,❌ Missing,High,Proxy-aware fetch,3,None
TRANSLATOR,Qwen Translator,openai-to-qwen.js,/open-sse/translator/request/openai-to-qwen.js,/internal/translator/qwen.go,❌ Missing,Medium,OpenAI to Qwen,4,Base Translator
TRANSLATOR,Perplexity Translator,openai-to-perplexity.js,/open-sse/translator/request/openai-to-perplexity.js,/internal/translator/perplexity.go,❌ Missing,Medium,OpenAI to Perplexity,4,Base Translator
API,Models Endpoint,/api/models,/src/app/api/models/route.js,/internal/api/admin/models.go,❌ Missing,Critical,List models,3,Model Service
API,Messages Endpoint,/api/v1/messages,/src/app/api/v1/messages/route.js,/internal/api/v1/messages.go,❌ Missing,Critical,CL4ude Messages API,5,Chat Handler
API,Responses Endpoint,/api/v1/responses,/src/app/api/v1/responses/route.js,/internal/api/v1/responses.go,❌ Missing,Critical,OpenAI Responses API,5,Chat Handler
